model,result,dimension,bucket,samples,C-Acc,EtF1,tIoU
MCG-NJU/TimeLens2-4B,full-video-multipass-128f,dispersion,25–60%,137,17.51824817518248,11.658556366585563,44.77598801239555
MCG-NJU/TimeLens2-4B,full-video-multipass-128f,dispersion,<25%,44,9.090909090909092,5.303030303030303,40.14785819154812
MCG-NJU/TimeLens2-4B,full-video-multipass-128f,dispersion,≥60%,139,13.66906474820144,9.88009592326139,41.580233638469636
MCG-NJU/TimeLens2-4B,full-video-multipass-128f,duration,120–300s,157,16.56050955414013,11.907289455060155,48.49175467302154
MCG-NJU/TimeLens2-4B,full-video-multipass-128f,duration,>300s,65,4.615384615384615,0.8717948717948718,23.1564774995289
MCG-NJU/TimeLens2-4B,full-video-multipass-128f,duration,≤120s,98,18.367346938775512,13.038548752834467,46.55195992591658
MCG-NJU/TimeLens2-4B,full-video-multipass-128f,evidence_density,10–30%,149,17.449664429530202,12.293064876957494,43.15907443819593
MCG-NJU/TimeLens2-4B,full-video-multipass-128f,evidence_density,<10%,78,12.820512820512821,4.772079772079771,21.258471867114174
MCG-NJU/TimeLens2-4B,full-video-multipass-128f,evidence_density,≥30%,93,11.827956989247312,10.75268817204301,60.12479244029556
MCG-NJU/TimeLens2-4B,full-video-multipass-128f,median_span,5–15s,132,11.363636363636363,7.470538720538721,40.01031947969735
MCG-NJU/TimeLens2-4B,full-video-multipass-128f,median_span,>15s,94,17.02127659574468,14.25531914893617,58.83584387484116
MCG-NJU/TimeLens2-4B,full-video-multipass-128f,median_span,≤5s,94,17.02127659574468,9.338061465721042,30.516352109770914
MCG-NJU/TimeLens2-4B,full-video-multipass-128f,span_count,2–3,199,20.100502512562816,14.796203238414293,46.81921860277197
MCG-NJU/TimeLens2-4B,full-video-multipass-128f,span_count,4–5,73,8.219178082191782,2.488584474885845,37.59230214030582
MCG-NJU/TimeLens2-4B,full-video-multipass-128f,span_count,≥6,48,2.0833333333333335,1.6203703703703705,33.73345907665911
MCG-NJU/TimeLens2-4B,uniform-window-local-128f,dispersion,25–60%,137,32.11678832116788,15.37307380373074,37.73432692682625
MCG-NJU/TimeLens2-4B,uniform-window-local-128f,dispersion,<25%,44,47.72727272727273,11.679292929292927,30.162863344312953
MCG-NJU/TimeLens2-4B,uniform-window-local-128f,dispersion,≥60%,139,30.93525179856115,21.402877697841728,42.19882360889576
MCG-NJU/TimeLens2-4B,uniform-window-local-128f,duration,120–300s,157,42.67515923566879,22.523000707714086,41.58522813322616
MCG-NJU/TimeLens2-4B,uniform-window-local-128f,duration,>300s,65,21.53846153846154,2.316239316239316,13.78582292081154
MCG-NJU/TimeLens2-4B,uniform-window-local-128f,duration,≤120s,98,27.551020408163264,19.47278911564626,50.38210154073694
MCG-NJU/TimeLens2-4B,uniform-window-local-128f,evidence_density,10–30%,149,36.241610738255034,21.79716629381059,39.830270648875505
MCG-NJU/TimeLens2-4B,uniform-window-local-128f,evidence_density,<10%,78,35.8974358974359,8.333333333333332,21.713156875551565
MCG-NJU/TimeLens2-4B,uniform-window-local-128f,evidence_density,≥30%,93,27.956989247311828,18.249701314217443,50.90396446006457
